Country,Year,Metric,Value,Source
Ukraine,2023,User Numbers,N/A,"Triple-A, https://triple-a.io/cryptocurrency-ownership-data"
Ukraine,2024,User Numbers,>6 million,"PatentPC, https://patentpc.com/blog/cryptocurrency-adoption-around-the-world"
Ukraine,2025,User Numbers,~4 million,"CoinLaw, https://coinlaw.io/cryptocurrency-adoption-statistics"
Ukraine,2023,Adoption Rate,N/A,"Triple-A, https://triple-a.io/cryptocurrency-ownership-data"
Ukraine,2024,Adoption Rate,N/A,"PatentPC, https://patentpc.com/blog/cryptocurrency-adoption-around-the-world"
Ukraine,2025,Adoption Rate,10.6% (of population),"CoinLaw, https://coinlaw.io/cryptocurrency-adoption-statistics; BuyBitcoinWorldwide, https://www.buybitcoinworldwide.com/statistics/"
Ukraine,2025,Chainalysis Index Rank,8 (Overall, Score: 0.22; Population-Adjusted: 1; Retail CEX: 4; CEX: 6; DeFi: 8; Institutional CEX: 6),"Chainalysis 2025 Global Crypto Adoption Index, https://www.chainalysis.com/blog/2025-global-crypto-adoption-index/"
Ukraine,2025,Use Insights,Hedging against war/instability; $2.1B in crypto aid/donations via DAOs; 800+ tech startups use crypto payroll; BTC dominant; youth-driven (global 18–34: 51%),"CoinLaw, https://coinlaw.io/cryptocurrency-adoption-statistics; CryptoNinjas, https://www.cryptoninjas.net/cryptocurrency-statistics/"
Ukraine,2025,CEX Volume (USD Billion),0.536,"CryptoNinjas, https://www.cryptoninjas.net/cryptocurrency-statistics/"
Ukraine,2025,DEX Volume (USD Billion),0.465,"CryptoNinjas, https://www.cryptoninjas.net/cryptocurrency-statistics/"
Ukraine,2025,Total Volume (USD Billion),1.001,"CryptoNinjas, https://www.cryptoninjas.net/cryptocurrency-statistics/"
Ukraine,2025,Avg Wallet Value Proxy (USD),111 (ARPU),"Statista, https://www.statista.com/statistics/1482583/cryptocurrency-market-size-by-country/"
Ukraine,2025,Avg Wallet Value Proxy (USD),>3–4x monthly rent (~$900–$1200 est.),"CryptoNinjas, https://www.cryptoninjas.net/cryptocurrency-statistics/"
Nigeria,2023,User Numbers,13.26 million,"Triple-A, https://triple-a.io/cryptocurrency-ownership-data"
Nigeria,2024,User Numbers,N/A,"PatentPC, https://patentpc.com/blog/cryptocurrency-adoption-around-the-world"
Nigeria,2025,User Numbers,28.1 million (Binance users),"CoinLaw, https://coinlaw.io/cryptocurrency-adoption-statistics"
Nigeria,2023,Adoption Rate,5.93% (of population),"Triple-A, https://triple-a.io/cryptocurrency-ownership-data"
Nigeria,2024,Adoption Rate,47% (of adults),"PatentPC, https://patentpc.com/blog/cryptocurrency-adoption-around-the-world"
Nigeria,2025,Adoption Rate,27% (overall); 18% (wallet penetration among internet users),"CoinLaw, https://coinlaw.io/cryptocurrency-adoption-statistics; BuyBitcoinWorldwide, https://www.buybitcoinworldwide.com/statistics/"
Nigeria,2025,Chainalysis Index Rank,6 (Overall, Score: 0.64; Retail CEX: 7; CEX: 8; DeFi: 3; Institutional CEX: 8),"Chainalysis 2025 Global Crypto Adoption Index, https://www.chainalysis.com/blog/2025-global-crypto-adoption-index/"
Nigeria,2025,Use Insights,Remittances/payments (mobile-first, 74% under 30); inflation hedging; 19 new licenses in sandbox; BTC 13%/47% owners, ETH 7%, DOGE 5%, ADA 3%, USDT high; >63.87% monthly wage spent,"CoinLaw, https://coinlaw.io/cryptocurrency-adoption-statistics; BuyBitcoinWorldwide, https://www.buybitcoinworldwide.com/statistics/; CryptoNinjas, https://www.cryptoninjas.net/cryptocurrency-statistics/"
Nigeria,2024,Total Volume (USD Billion),>0.33,"CryptoNinjas, https://www.cryptoninjas.net/cryptocurrency-statistics/"
Nigeria,2025,Total Volume (USD Billion),N/A (regional: $2.36T for Sub-Saharan),"Chainalysis 2025 Global Crypto Adoption Index, https://www.chainalysis.com/blog/2025-global-crypto-adoption-index/"
Nigeria,2025,Avg Wallet Value Proxy (USD),87.4 (ARPU),"Statista, https://www.statista.com/statistics/1482583/cryptocurrency-market-size-by-country/"
Nigeria,2025,Avg Wallet Value Proxy (USD),>63.87% monthly wage (~$150–$200 est.),"CryptoNinjas, https://www.cryptoninjas.net/cryptocurrency-statistics/"
India,2023,User Numbers,93.54 million,"Triple-A, https://triple-a.io/cryptocurrency-ownership-data"
India,2024,User Numbers,>90 million,"PatentPC, https://patentpc.com/blog/cryptocurrency-adoption-around-the-world"
India,2025,User Numbers,56 million (WazirX + CoinDCX); 107.3 million (total estimate),"CoinLaw, https://coinlaw.io/cryptocurrency-adoption-statistics; Medium, https://medium.com/@bitcoinisthefuture/cryptocurrency-statistics-2025/"
India,2023,Adoption Rate,6.55% (of population),"Triple-A, https://triple-a.io/cryptocurrency-ownership-data"
India,2024,Adoption Rate,N/A,"PatentPC, https://patentpc.com/blog/cryptocurrency-adoption-around-the-world"
India,2025,Adoption Rate,29% (overall); 16% (wallet penetration among internet users); 27% (ownership rise from 2023),"CoinLaw, https://coinlaw.io/cryptocurrency-adoption-statistics; Medium, https://medium.com/@bitcoinisthefuture/cryptocurrency-statistics-2025/; BuyBitcoinWorldwide, https://www.buybitcoinworldwide.com/statistics/"
India,2025,Chainalysis Index Rank,1 (Overall, Score: 1.00; Retail CEX: 1; CEX: 1; DeFi: 1; Institutional CEX: 1),"Chainalysis 2025 Global Crypto Adoption Index, https://www.chainalysis.com/blog/2025-global-crypto-adoption-index/"
India,2025,Use Insights,Investments/DeFi (rural growth 33.1% YoY; 78% male); remittances; 30% tax (may drop to 15%); BTC 8%/28% owners, ETH 6%, DOGE 6%, ADA 6%, BNB high; rural internet 51.5%,"CoinLaw, https://coinlaw.io/cryptocurrency-adoption-statistics; Medium, https://medium.com/@bitcoinisthefuture/cryptocurrency-statistics-2025/; CryptoNinjas, https://www.cryptoninjas.net/cryptocurrency-statistics/"
India,2025,CEX Volume (USD Billion),1.3,"CryptoNinjas, https://www.cryptoninjas.net/cryptocurrency-statistics/"
India,2025,DEX Volume (USD Billion),0.758,"CryptoNinjas, https://www.cryptoninjas.net/cryptocurrency-statistics/"
India,2025,Total Volume (USD Billion),2.058 (regional: $2.36T for APAC),"CryptoNinjas, https://www.cryptoninjas.net/cryptocurrency-statistics/; Chainalysis 2025 Global Crypto Adoption Index, https://www.chainalysis.com/blog/2025-global-crypto-adoption-index/"
India,2025,Avg Wallet Value Proxy (USD),81.2 (ARPU),"Statista, https://www.statista.com/statistics/1482583/cryptocurrency-market-size-by-country/"